77.3215165, 28.675897799999998;RedLine;Dilshad Garden
77.312473, 28.675829;RedLine;Jhil Mil
77.30011499999999, 28.675599;RedLine;Mansarovar Park
77.290108, 28.673550;RedLine;Shahdara
77.290108, 28.673550;PinkLine;Shahdara
77.2776809, 28.671790299999998;RedLine;Welcome
77.2776809, 28.671790299999998;PinkLine;Welcome
77.266735, 28.669888;RedLine;Seelampur
77.22897, 28.65381;RedLine;Shastri Park
77.2281931, 28.6674913;RedLine;Kashmere Gate
77.2281931, 28.6674913;YellowLine;Kashmere Gate
77.2281931, 28.6674913;VioletLine;Kashmere Gate
77.22897, 28.65381;RedLine;Tis Hazari
77.2073716, 28.666397999999997;RedLine;Pul Bangash
77.19888259999999, 28.666615;RedLine;Pratap Nagar
77.181787, 28.669922;RedLine;Shastri Nagar
77.1700424, 28.673336799999998;RedLine;Inder Lok
77.1700424, 28.673336799999998;GreenLine;Inder Lok
77.16479919999999, 28.682409999999997;RedLine;Kanhaiya Nagar
77.162463, 28.6875534;RedLine;Keshav Puram
77.15263039999999, 28.6960458;RedLine;Netaji Subhash Place
77.15263039999999, 28.6960458;PinkLine;Netaji Subhash Place
77.14049999999997, 28.698;RedLine;Kohat Enclave
77.1324906, 28.7030839;RedLine;Pitam Pura
77.125917, 28.707684;RedLine;Rohini East
77.1154768, 28.7148933;RedLine;Rohini West
77.1072188, 28.7207843;RedLine;Rithala
77.13830000000007, 28.7446;YellowLine;Samaypur Badli
77.1398754, 28.7383176;YellowLine;Rohini Sector 18,19
77.14921269999999, 28.7299603;YellowLine;Haiderpur Badli Mor
77.162745, 28.725947;YellowLine;Jahangirpuri
77.17039999999997, 28.7166;YellowLine;Adarsh Nagar
77.34845779999999, 28.881338;YellowLine;Azadpur
77.34845779999999, 28.881338;PinkLine;Azadpur
77.1937134, 28.7028569;YellowLine;Model Town
77.20694379999999, 28.6978366;YellowLine;G.T.B. Nagar
77.2147, 28.6951;YellowLine;Vishwavidyalaya
77.2215792, 28.687818999999998;YellowLine;Vidhan Sabha
77.2250145, 28.6769532;YellowLine;Civil Lines
77.2303565, 28.6588265;YellowLine;Chandni Chowk
77.2259175, 28.6482916;YellowLine;Chawri Bazar
77.221575, 28.642257;YellowLine;New Delhi
77.219374, 28.632986;YellowLine;Rajiv Chowk
77.219374, 28.632986;BlueLine;Rajiv Chowk
77.10249019999999, 28.7040592;YellowLine;Patel Chowk
77.21226349999999, 28.6151511;YellowLine;Central Secretariat
77.21226349999999, 28.6151511;VioletLine;Central Secretariat
77.2119639, 28.611060499999997;YellowLine;Udyog Bhawan
77.2111773, 28.5976575;YellowLine;Lok Kalyan Marg
77.2120368, 28.5860802;YellowLine;Jorbagh
77.2095097, 28.574524699999998;YellowLine;INA
77.2095097, 28.574524699999998;PinkLine;INA
77.10249019999999, 28.7040592;YellowLine;AIIMS
77.2068305, 28.5598225;YellowLine;Green Park
77.2060276, 28.5444027;YellowLine;Hauz Khas
77.2060276, 28.5444027;MagentaLine;Hauz Khas
77.2056897, 28.528153;YellowLine;Malviya Nagar
77.2015352, 28.5204918;YellowLine;Saket
77.18634879999999, 28.5129418;YellowLine;Qutab Minar
77.175047, 28.506850;YellowLine;Chhattarpur
77.161368, 28.49926;YellowLine;Sultanpur
77.149132, 28.493842;YellowLine;Ghitorni
77.1258579, 28.480777399999997;YellowLine;Arjan Garh
77.1022517, 28.482007;YellowLine;Guru Dronacharya
77.09303659999999, 28.481306399999998;YellowLine;Sikandarpur
77.0799522, 28.4795554;YellowLine;MG Road
77.0725551, 28.4720887;YellowLine;IFFCO Chowk
77.0725607, 28.4591307;YellowLine;Huda City Centre
77.0583048, 28.5522057;BlueLine;Dwarka Sector 21
77.067015, 28.565622;BlueLine;Dwarka Sector 8
77.0652246, 28.574462099999998;BlueLine;Dwarka Sector 9
77.0575085, 28.5811243;BlueLine;Dwarka Sector 10
77.049834, 28.586406;BlueLine;Dwarka Sector 11
77.040682, 28.592303;BlueLine;Dwarka Sector 12
77.032485, 28.597861;BlueLine;Dwarka Sector 13
77.025951, 28.60226;BlueLine;Dwarka Sector 14
77.022808, 28.614966;BlueLine;Dwarka
77.03344, 28.619299;BlueLine;Dwarka Mor
77.045089, 28.620222;BlueLine;Nawada
77.05626, 28.621856;BlueLine;Uttam Nagar West
77.065058, 28.624424;BlueLine;Uttam Nagar East
77.078243, 28.62954;BlueLine;Janak Puri West
77.078243, 28.62954;MagentaLine;Janak Puri West
77.08247, 28.632869;BlueLine;Janak Puri East
77.096364, 28.636645;BlueLine;Tilak Nagar
77.104905, 28.640431;BlueLine;Subhash Nagar
77.112914, 28.643688;BlueLine;Tagore Garden
77.122634, 28.649004;BlueLine;Rajouri Garden
77.122634, 28.649004;PinkLine;Rajouri Garden
77.131507, 28.652972;BlueLine;Ramesh Nagar
77.142563, 28.658131;BlueLine;Moti Nagar
77.151473, 28.6551;BlueLine;Kirti Nagar
77.151473, 28.6551;GreenLine;Kirti Nagar
77.157626, 28.651955;BlueLine;Shadipur
77.169251, 28.645049;BlueLine;Patel Nagar
77.178263, 28.642241;BlueLine;Rajendra Place
77.188541, 28.643877;BlueLine;Karol Bagh
77.199812, 28.644399;BlueLine;Jhandewalan
